TF	target	interaction
G106	G236	1
G11	G1783	1
G11	G2592	1
G11	G2961	1
G11	G448	1
G110	G2744	1
G110	G3647	1
G116	G1284	1
G116	G2990	1
G116	G4206	1
G120	G2657	1
G120	G418	1
G13	G2893	1
G13	G4098	1
G13	G4123	1
G13	G4146	1
G13	G4213	1
G150	G1090	1
G150	G1256	1
G150	G1940	1
G150	G2244	1
G150	G2893	1
G150	G2924	1
G150	G4047	1
G150	G4083	1
G150	G4134	1
G150	G4143	1
G150	G4213	1
G150	G650	1
G178	G1658	1
G178	G2072	1
G178	G3374	1
G178	G887	1
G183	G1491	1
G187	G1195	1
G187	G2375	1
G187	G2989	1
G187	G4296	1
G188	G1116	1
G188	G2314	1
G188	G2709	1
G188	G2929	1
G188	G3162	1
G188	G4271	1
G197	G1000	1
G197	G2331	1
G197	G4047	1
G197	G4213	1
G197	G934	1
G199	G1256	1
G199	G2505	1
G199	G2619	1
G199	G2751	1
G199	G2859	1
G199	G4040	1
G199	G4143	1
G199	G4252	1
G2	G2626	1
G2	G688	1
G202	G1891	1
G202	G4213	1
G202	G495	1
G209	G2123	1
G209	G3961	1
G219	G2744	1
G219	G2760	1
G219	G329	1
G219	G3647	1
G219	G3679	1
G219	G4306	1
G219	G4351	1
G235	G328	1
G236	G3544	1
G244	G1256	1
G244	G2924	1
G244	G4213	1
G244	G4246	1
G244	G650	1
G244	G700	1
G254	G1116	1
G254	G188	1
G254	G2314	1
G254	G2709	1
G254	G2929	1
G254	G3162	1
G254	G4271	1
G259	G1116	1
G259	G1119	1
G259	G1927	1
G259	G2314	1
G259	G2668	1
G259	G2689	1
G259	G2709	1
G259	G2821	1
G259	G2929	1
G259	G3162	1
G259	G3386	1
G259	G4271	1
G259	G4296	1
G259	G4312	1
G259	G4415	1
G259	G4453	1
G259	G666	1
G259	G896	1
G263	G1427	1
G263	G1535	1
G263	G2141	1
G263	G2192	1
G263	G3266	1
G263	G4111	1
G263	G561	1
G278	G1934	1
G278	G2505	1
G278	G972	1
G279	G4213	1
G284	G1307	1
G3	G1198	1
G3	G1451	1
G305	G1020	1
G305	G702	1
G332	G1307	1
G332	G3296	1
G36	G702	1
G4	G1029	1
G4	G1532	1
G4	G3044	1
G48	G1157	1
G48	G2264	1
G48	G343	1
G48	G936	1
G56	G3682	1
G56	G4333	1
G58	G1934	1
G6	G1101	1
G66	G1905	1
G66	G2316	1
G73	G1170	1
G73	G1554	1
G73	G1932	1
G73	G2325	1
G73	G2884	1
G73	G2929	1
G73	G3162	1
G73	G3200	1
G73	G3373	1
G73	G3800	1
G73	G4027	1
G73	G4404	1
G73	G839	1
G73	G931	1
G83	G4047	1
G92	G3638	1
