Gene1	Gene2	Status	Description
G55	G2330	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1783	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G1705	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2393	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G3329	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1049	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G3	G936	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G589	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G2968	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G208	G329	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G274	G3199	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G864	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G907	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G3221	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G425	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G2331	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G264	G1461	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G259	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G101	G4127	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G4333	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G178	G1177	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G1631	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G258	G1695	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G235	G718	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G202	G809	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1545	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G2666	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G3431	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G99	G1146	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G1138	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3374	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G925	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2515	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G125	G2794	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G167	G1398	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G1705	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G2469	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G221	G4275	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G221	G2574	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G3200	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G4004	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4035	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G283	G1673	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2313	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G3142	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G444	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G2028	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2154	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G2516	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G48	G3992	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G4106	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G1330	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3971	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G4063	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G69	G4415	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3305	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G315	G3742	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2489	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G178	G1871	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G650	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3537	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G450	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G3365	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G2781	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G2325	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3708	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G424	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3221	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G61	G2497	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G4096	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G1686	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2754	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G1137	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G116	G1874	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G306	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G89	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G72	G2650	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G283	G1940	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3296	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G277	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3938	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G2751	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3813	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G2832	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G285	G3659	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G333	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G221	G3307	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4146	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G431	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3751	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G73	G839	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G886	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G702	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G99	G3369	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3766	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2453	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G3812	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G83	G4058	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G128	G691	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3489	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G2	G1047	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3107	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1539	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G1457	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4330	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G323	G1246	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G284	G3423	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G118	G482	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G138	G1982	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G2808	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2707	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G8	G700	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G209	G1928	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G1035	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3365	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G61	G3008	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3940	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3432	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G178	G1974	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2825	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G4300	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G3861	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3431	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G66	G4072	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3221	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G99	G2965	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G4322	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G197	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3317	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G1631	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G2128	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G3073	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3595	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G260	G3748	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G1404	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2360	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1589	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G3662	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3579	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G116	G2562	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1034	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1743	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2741	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1427	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G116	G4389	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3568	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G260	G1494	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G193	G367	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G269	G4149	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1664	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G309	G1079	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G259	G1119	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G8	G1332	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G89	G2929	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G303	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G4003	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G313	G4344	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G3990	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3329	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G128	G3470	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1973	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4157	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G283	G1090	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G10	G219	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4282	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G89	G3162	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2707	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G227	G3742	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G118	G792	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3406	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G199	G3894	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G3365	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G309	G1662	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G315	G3457	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G3	G1451	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G259	G1404	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G4220	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2393	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G4251	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G142	G2120	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G39	G2665	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G127	G1161	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G170	G565	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G202	G956	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G247	G1996	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G278	G2532	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2321	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G66	G3554	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G110	G3679	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G2222	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4335	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G254	G4453	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3768	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G525	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1074	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G330	G2192	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G4019	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G66	G1928	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1033	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G253	G1033	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G69	G3466	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G56	G3044	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1080	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G66	G1645	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G254	G4271	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G4003	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1525	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G175	G3108	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G188	G4453	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G3951	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1817	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2800	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G144	G4244	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G2522	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G280	G1702	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G235	G3498	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G1658	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1340	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G183	G3742	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3044	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G289	G634	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2574	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2819	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2527	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G2074	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2640	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G247	G1557	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G188	G4271	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G305	G3399	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G4306	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1392	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G4072	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G23	G4196	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G900	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2637	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G3	G2605	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G666	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G548	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G2424	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G1370	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2321	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G216	G299	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G175	G2264	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3262	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3415	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G1778	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G193	G2802	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G220	G3380	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G264	G1188	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G659	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G236	G3156	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G1940	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G3321	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G144	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G255	G4057	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G283	G3262	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3840	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G103	G433	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G58	G3205	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G4003	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G2450	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3329	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G36	G2453	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1029	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G4327	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G3200	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G4125	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G176	G3296	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G2041	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G3307	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G274	G1712	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2964	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G247	G4469	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G876	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G66	G1340	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G774	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G235	G340	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G488	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G2527	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G113	G3356	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G282	G4212	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G151	G2023	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G86	G2180	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2388	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G227	G3457	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G2005	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G76	G1190	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G3356	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G125	G1097	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G224	G4397	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G210	G796	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G2844	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G268	G4395	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G176	G3766	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G58	G3367	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G2341	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G244	G1458	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G223	G1256	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G92	G2637	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G1395	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G219	G911	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G3047	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G259	G2821	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G140	G817	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G188	G2668	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G281	G769	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G192	G2806	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G333	G4083	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G55	G1398	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G170	G4229	True Positive	Interação predita pelo SCENIC+ que está no gold standard
G58	G3879	True Positive	Interação predita pelo SCENIC+ que está no gold standard
